,Total Area,WashArea,Setback,PoojaRoom,DiningRoom,Kitchen,WashArea_Staircase,BedRoom2,BathRoom2,BathRoom2a,Staircase,BedRoom2a,LivingRoom1,Entrance_Staircase,Garden,Parking,Library,Closet,BathRoom1,BedRoom1,Balcony,BathRoom2b,BathRoom2c,BedRoom3,LivingRoom2,FoyerArea,Total Area length,WashArea length,Setback length,PoojaRoom length,DiningRoom length,Kitchen length,WashArea_Staircase length,BedRoom2 length,BathRoom2 length,BathRoom2a length,Staircase length,BedRoom2a length,LivingRoom1 length,Entrance_Staircase length,Garden length,Parking length,Library length,Closet length,BathRoom1 length,BedRoom1 length,Balcony length,BathRoom2b length,BathRoom2c length,BedRoom3 length,LivingRoom2 length,FoyerArea length,Total Area width,WashArea width,Setback width,PoojaRoom width,DiningRoom width,Kitchen width,WashArea_Staircase width,BedRoom2 width,BathRoom2 width,BathRoom2a width,Staircase width,BedRoom2a width,LivingRoom1 width,Entrance_Staircase width,Garden width,Parking width,Library width,Closet width,BathRoom1 width,BedRoom1 width,Balcony width,BathRoom2b width,BathRoom2c width,BedRoom3 width,LivingRoom2 width,FoyerArea width,No_of_Bedrooms,No_of_Bathrooms,No_of_Livingrooms,No_of_Kitchens,No_of_Dinings,No_of_Kitchen&Dining,No_of_Storerooms,No_of_Garden,No_of_Parking,No_of_Poojarooms,No_of_WashArea,Garden_Staircase,Garden_Staircase length,Garden_Staircase width,DrawingRoom,Terrace,DrawingRoom length,Terrace length,DrawingRoom width,Terrace width,Office,StoreRoom,Office length,StoreRoom length,Office width,StoreRoom width,Pantry,Foyer,Pantry length,Foyer length,Pantry width,Foyer width,OTS,OTS1a,Balcony1a,OTS length,OTS1a length,Balcony1a length,OTS width,OTS1a width,Balcony1a width,Kitchen & Dining,Kitchen & Dining length,Kitchen & Dining width,EntranceStairs,EntranceStairs length,EntranceStairs width
SMH_DXF12.dxf,2700,112,1384.5,,44.62030062,168.8796994,35,165.625,45,45.13888889,98,189,254.6736111,,,,,,81.5,190.1666667,237.5,67.91666667,45,190.1666667,254.6736111,,60,7,58.5,,14,14,7,12.5,5,10.41666667,7,14,18.08333333,,,,,,6,14,12.5,5,5,14,18.08333333,,45,16,23.66666667,,3.18716433,12.06283567,5,13.25,9,4.333333333,14,13.5,14.08333333,,,,,,13.58333333,13.58333333,19,13.58333333,9,13.58333333,14.08333333,,4,6,2,1,1,0,0,0,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMH_DXF13.dxf,1501.041667,23,830.7291667,36,,,,250.4794338,44.20138889,43.33333333,72.5,,66.58333333,25.41666667,73,,,,40.90277778,234.7916667,336,,,271.6038995,,,45.83333333,4,26.58333333,6,,,,14.3131105,7.916666667,5.416666667,7.5,,15.66666667,5.083333333,4,,,,7.916666667,13.41666667,37.33333333,,,15.52022283,,,32.75,5.75,31.25,6,,,,17.5,5.583333333,8,9.666666667,,4.25,5,18.25,,,,5.166666667,17.5,9,,,17.5,,,3,5,1,1,0,1,0,1,,1,1,,,,,,,,,,,,,,,,,,,,,,11.04861111,15.41666667,,3.583333333,5,,3.083333333,3.083333333,,210.875,10.5,20.08333333,,,
SMH_DXF14.dxf,1290.666667,197.864318,,36,17.25,112.6041667,22.47635814,198.3333333,50.82554098,54,228.5833333,129.3472222,0,34.27221069,44.25,240.3333333,,,47.97017351,187.8333333,45.91666667,42.91666667,,141.6666667,4.305555556,,42.66666667,24,,6,1.916666667,11.75,4.416666667,14.16666667,7.416666667,6,17.58333333,11.16666667,9.333333333,4.916666667,3,17.16666667,,,7,13.41666667,3.166666667,5,,14.16666667,10.33333333,,30.25,8.244346585,,6,9,9.583333333,5.088986748,14,6.85288193,9,13,11.58333333,0,6.970619124,14.75,14,,,6.85288193,14,14.5,8.583333333,,10,0.4166666667,,4,4,2,1,0,0,0,1,2,1,5,,,,,803.2361111,,31.91666667,,25.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMH_DXF15.dxf,1680,65,,46.52083333,,,23.33333333,,177.0833333,40.66666667,92.01388889,,130,1.02E-13,133.3333333,212.625,,,43.33333333,197.1388889,218.625,,,177.0833333,,123.3055556,56,5,,6.416666667,,,5,,17,8,8.833333333,,13.33333333,5.367809044,13.33333333,15.75,,,5.416666667,15.66666667,8.25,,,17,,16.08333333,30,13,,7.25,,,4.666666667,,10.41666667,5.083333333,10.41666667,,9.75,1.89E-14,10,13.5,,,8,12.58333333,26.5,,,10.41666667,,7.666666667,2,4,1,1,0,1,1,2,2,1,4,,,,147.9885762,,14.79885762,,10,,,27.08333333,,5,,5.416666667,185.25,,14.25,,13,,38.88888889,,,5.833333333,,,6.666666667,,,196.6666667,19.66666667,10,0,0,0.4166666667
SMH_DXF16.dxf,1500,58.66666667,,,,111.5625,,166,53.33333333,,,,128,165.7083333,85.5,238.6875,,,56.42361111,186.7152778,,,,,,,50,4,,,,9.916666667,,12,5,,,,12,16.16666667,6,16.75,,,5.416666667,13.91666667,,,,,,,30,14.66666667,,,,11.25,,13.83333333,10.66666667,,,,10.66666667,10.25,14.25,14.25,,,10.41666667,13.41666667,,,,,,,2,2,1,1,0,0,0,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMH_DXF21.dxf,1200,,,,,,,,,,,,184.1666667,46.11111111,91.06944444,164.8472222,,,35.65972222,197.8125,,,,,,,40,,,,,,,,,,,,17,3.333333333,6.583333333,11.91666667,,,6.583333333,17.58333333,,,,,,,30,,,,,,,,,,,,10.83333333,13.83333333,13.83333333,13.83333333,,,5.416666667,11.25,,,,,,,1,1,1,1,0,1,1,1,2,0,0,,,,,,,,,,,62.9375,,4.416666667,,14.25,,,,,,,,,,,,,,,,188.9791667,16.08333333,11.75,,,
SMH_DXF20.dxf,1400,,,,,,,131.9270833,71,73.52430556,,,178.5121528,55.13888889,55.11458333,184.7152778,,,57.75,235.0208333,,,,,,,40,,,,,,,12.41666667,12,10.08333333,,,10.79166667,3.333333333,3.25,11.16666667,,,10.5,14.5,,,,,,,35,,,,,,,10.625,5.916666667,7.291666667,,,16.54166667,16.54166667,16.95833333,16.54166667,,,5.5,16.20833333,,,,,,,2,3,1,1,0,1,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9913194,13.20833333,16.95833333,,,
SMH_DXF19.dxf,1350,64.16666667,,55.29208096,,128.71221,,195.3639402,50.79861111,,,,70.21650095,130.0826785,87,173.8333333,,,84.5,127.9206573,,,,,,,45,4.583333333,,5.529208096,,9.193729286,,14.20828656,4.583333333,,,,8.777062619,9.291619891,6,12.41666667,,,6,11.54171344,,,,,,,30,14,,10,,14,,13.75,11.08333333,,,,8,14,14.5,14,,,14.08333333,11.08333333,,,,,,,2,2,1,1,0,0,0,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMH_DXF18.dxf,1125,50.79861111,,40.41666667,,,,111.5833333,55.41666667,,,,96.75,57.36111111,,123.4722222,,,72,114,,,,,,,45,4.583333333,,5,,,,13,5,,,,10.75,4.916666667,,10.58333333,,,6,12,,,,,,,25,11.08333333,,8.083333333,,,,8.583333333,11.08333333,,,,9,11.66666667,,11.66666667,,,12,9.5,,,,,,,2,2,1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7916667,15.5,11.08333333,,,
SMH_DXF17.dxf,800,32,,53.61979167,54.86474644,51.75120014,,,,,,,60.35069444,35,39.83333333,114.1929737,,,45.98611111,106.7152778,,,,,,,40,4,,7.395833333,6.858093305,10.35024003,,,,,,,7.958333333,3.333333333,4.979166667,10.875,,,6.416666667,10.58333333,,,,,,,20,8,,7.25,8,5,,,,,,,7.583333333,10.5,8,10.50050333,,,7.166666667,10.08333333,,,,,,,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
